DATE;HEURE;NO;NO2;PM10;PM25;CO2;TEMP;HUMI
13-févr-14;0:00;112;61;80;43;427;18;43,7
13-févr-14;5:00;20;48;87;27;449;16,9;47
13-févr-14;7:00;72;66;103;34;623;17,1;51,8
13-févr-14;11:00;54;67;78;31;524;17,4;46,9
13-févr-14;20:00;38;62;86;33;506;17,6;35,5
14-févr-14;0:00;17;59;43;11;419;17,2;36,1
14-févr-14;7:00;94;58;102;41;643;16,9;45,1
14-févr-14;17:00;83;56;88;33;681;18,1;55,1
14-févr-14;23:00;<2;33;52;13;471;18,4;43,9
15-févr-14;6:00;<2;38;48;18;443;17,5;46,9
15-févr-14;17:00;37;64;75;32;584;18,2;41,6
15-févr-14;20:00;15;54;62;26;487;18;40,8
16-févr-14;0:00;4;46;64;23;448;18;37,8
16-févr-14;16:00;15;59;73;23;495;17,6;39,8
16-févr-14;18:00;27;62;91;40;501;17,7;41
16-févr-14;21:00;5;51;47;22;455;17,4;42,7
17-févr-14;7:00;91;60;82;33;612;17;45,5
17-févr-14;14:00;44;70;92;29;531;17,7;41
17-févr-14;15:00;49;70;105;31;560;18;39,8
17-févr-14;16:00;58;71;113;36;619;18,1;39,1
17-févr-14;22:00;47;66;48;23;477;17,9;38,3
17-févr-14;23:00;31;60;55;24;458;17,8;38,2
18-févr-14;1:00;11;50;21;13;441;17,4;38
18-févr-14;6:00;114;62;61;25;528;16,7;39,7
18-févr-14;9:00;178;68;89;35;577;17,5;38
18-févr-14;16:00;80;55;103;42;640;18,1;43,9
19-févr-14;4:00;<2;30;23;10;432;17;48,9
19-févr-14;7:00;82;56;92;36;608;17,3;51,5
19-févr-14;15:00;74;71;73;30;571;18,2;43,4
19-févr-14;16:00;64;67;110;40;639;18,7;43,2
19-févr-14;21:00;29;61;74;27;480;18,5;42,4
20-févr-14;4:00;3;29;19;8;422;17,3;51,9
20-févr-14;8:00;59;47;265;96;658;18,3;57
20-févr-14;12:00;ND;ND;63;32;ND;18,4;56,5
20-févr-14;15:00;53;50;77;29;572;18,6;59,3
20-févr-14;16:00;50;48;94;36;619;18,6;60
20-févr-14;22:00;12;59;39;11;470;18,3;47,3
21-févr-14;14:00;40;63;178;64;563;18,8;33,9
